,A5967,A5980,A6001
Nitab01g005800.1,21.884966786800824,21.687482717982828,19.612763892831914
Nitab01g005820.1,52.250726465587086,57.080217602607306,49.15238125476313
Nitab01g005830.1,5.697914334886084,5.790146917568223,6.528444484607002
Nitab01g005840.1,4.677282772322716,3.4292264750432424,13.33667944712571
Nitab01g005850.1,11.484563691888791,9.287247850713738,15.512473505324543
Nitab01g005870.1,27.682252405378474,18.17397494953148,25.467121762545066
Nitab01g005880.1,215.58706587101267,212.71926872758957,294.37779975824117
Nitab01g005900.1,20.697383696340935,18.18830921722509,16.726295592639676
Nitab01g005910.1,91.79083074110949,114.80238704329474,66.7446308419056
Nitab01g005960.1,6.179910839353297,6.593191970796309,6.99065704054685
Nitab01g005970.1,5.263087268269203,7.531025744278492,7.837167638994321
Nitab01g006010.1,11.699290172368967,8.277812321402898,3.3114313663988195
Nitab01g006030.1,11.449936328917612,9.168913444598578,7.2833807660273955
Nitab01g006050.1,83.87997226445016,107.98042992390369,52.108175515526604
Nitab01g006060.1,14.283786264891855,14.919767541692138,14.211215804314252
Nitab01g006090.1,9.03239707151282,13.352333284715046,8.3889594615437
Nitab01g006130.1,7.177129209078642,8.008760687635679,9.156779277111118
Nitab01g006160.1,7.140346023418332,7.049708942698585,7.077866492365027
Nitab01g006200.1,22.466451411570823,20.566356428898406,29.406225704931156
Nitab01g006220.1,16.221093697847135,16.114319829311953,15.87627657587916
Nitab01g006270.1,72.40637327101116,81.55120664582773,79.97684595521095
Nitab01g006280.1,4.607020203430685,4.812476885938604,5.762145478092744
Nitab01g006290.1,6.4645371649988865,7.301875963119575,8.655780960463618
Nitab01g006300.1,36.885499947140694,37.71056326076423,36.15016614347492
Nitab01g006310.1,40.82712928383388,39.0250954787004,36.76448855681566
Nitab01g006350.1,330.7561604366369,194.85472375863955,241.5950458944694
Nitab01g006370.1,21.66628639448393,22.931360187834212,26.373572957041887
Nitab01g006450.1,48.91410996317643,33.6260486613298,20.889762033274284
Nitab01g006460.1,39.19603918820139,29.2611509032031,26.52610631961079
Nitab01g006480.1,5.827493244501303,5.860798521725736,6.282419658807528
Nitab01g006490.1,17.89803294096298,13.604993853954943,13.95035949498289
Nitab01g006500.1,16.821882681064025,22.254191255466655,35.78941050357651
Nitab01g006520.1,9.13234514609057,8.629792192320572,4.315295430965813
Nitab01g006530.1,11.062290258275148,13.251196641983649,8.037360189848489
Nitab01g006550.1,8.434860838735172,6.859458215514623,11.047493838602232
Nitab01g006560.1,10.29217752895899,10.491361079561386,10.648443885913016
Nitab01g006570.1,22.189667736499093,20.10740470441135,14.731194860821947
Nitab01g006580.1,19.84702732244437,16.275756647227073,11.929185599082995
Nitab01g006600.1,5.8802546138494245,6.032138661396638,6.174642733452578
Nitab01g006650.1,11.169903357002882,8.175994331742725,5.3385694528585885
Nitab01g006660.1,7.004771124611711,6.378896615260635,8.427172092558026
Nitab01g006670.1,12.579431014393213,11.951199992058948,10.331129334075111
Nitab01g006700.1,59.559887949228994,69.11319385685951,61.26235809718376
Nitab01g006740.1,10.336536513420361,10.505508333611976,10.438469180531179
Nitab01g006770.1,8.375818244199632,8.318154986411619,9.311982088362043
Nitab01g006830.1,37.549164231537915,42.815345008766585,50.92105354457426
Nitab01g006840.1,12.31962873067144,9.56815422724119,9.4424732413732
Nitab01g006850.1,13.127140018402562,7.80354950073052,3.7552999247739334
Nitab01g006880.1,16.35584823742219,14.295491635670047,15.264001105728793
Nitab01g006900.1,127.15228807076221,122.79597427242622,94.2442015288922
Nitab01g006920.1,12.296741871948397,13.376023538197343,26.742265344833243
Nitab01g006940.1,14.973176705434838,12.505090846614745,14.828309917049245
Nitab01g006950.1,9.66851443283817,8.328913591498628,10.586666731795113
